"well","fluo_intensity","column","row","plate","dilution","concentration_ng_ul"
"A4",11938,"4","A","plate1",10,58.2939362925059
"B4",11169,"4","B","plate1",10,54.5235097781551
"C4",6859,"4","C","plate1",10,33.3914704064357
"D4",13059,"4","D","plate1",10,63.7902277393034
"E4",11901,"4","E","plate1",10,58.1125243535839
"F4",12295,"4","F","plate1",10,60.0443163518339
"G4",14338,"4","G","plate1",10,70.0611971955514
"H4",11286,"4","H","plate1",10,55.0971637471785
"A5",11954,"5","A","plate1",10,58.3723846985262
"B5",12836,"5","B","plate1",10,62.6968530803954
"C5",13711,"5","C","plate1",10,66.9870002846308
"D5",12526,"5","D","plate1",10,61.1769152137521
"E5",9585,"5","E","plate1",10,46.757117582145
"F5",716,"5","F","plate1",10,3.2721855200154
"G5",14077,"5","G","plate1",10,68.7815075723452
"H5",12186,"5","H","plate1",10,59.5098865858206
"A6",14313,"6","A","plate1",10,69.9386215611447
"B6",14087,"6","B","plate1",10,68.8305378261079
"C6",16044,"6","C","plate1",10,78.4257584874663
"D6",15645,"6","D","plate1",10,76.469451362335
"E6",1079,"6","E","plate1",10,5.05198373160104
"F6",15384,"6","F","plate1",10,75.1897617391288
"G6",15641,"6","G","plate1",10,76.4498392608299
"H6",14913,"6","H","plate1",10,72.8804367869061
"A7",4703,"7","A","plate1",10,22.8205476951998
"B7",14245,"7","B","plate1",10,69.6052158355584
"C7",5319,"7","C","plate1",10,25.8408113269815
"D7",14570,"7","D","plate1",10,71.1986990828458
"E7",5959,"7","E","plate1",10,28.9787475677937
"F7",6309,"7","F","plate1",10,30.6948064494878
"G7",2646,"7","G","plate1",10,12.7350244962145
"H7",14850,"7","H","plate1",10,72.5715461882012
"A8",12028,"8","A","plate1",10,58.7352085763701
"B8",708,"8","B","plate1",10,3.23296131700525
"C8",12408,"8","C","plate1",10,60.5983582193523
"D8",13144,"8","D","plate1",10,64.2069848962863
"E8",4780,"8","E","plate1",10,23.1980806491725
"F8",13867,"8","F","plate1",10,67.7518722433288
"G8",7865,"8","G","plate1",10,38.3239139349623
"H8",13126,"8","H","plate1",10,64.1187304395134
"A9",10357,"9","A","plate1",10,50.5422531726246
"B9",13278,"9","B","plate1",10,64.8639902967063
"C9",12224,"9","C","plate1",10,59.6962015501188
"D9",13993,"9","D","plate1",10,68.3696534407386
"E9",11450,"9","E","plate1",10,55.9012599088866
"F9",15389,"9","F","plate1",10,75.2142768660101
"G9",8378,"9","G","plate1",10,40.8391659529883
"H9",17691,"9","H","plate1",10,86.5010412821813
"A10",7150,"10","A","plate1",10,34.81825079093
"B10",3693,"10","B","plate1",10,17.8684920651682
"C10",12985,"10","C","plate1",10,63.4274038614595
"D10",7537,"10","D","plate1",10,36.7157216115461
"E10",13343,"10","E","plate1",10,65.1826869461638
"F10",7338,"10","F","plate1",10,35.7400195616686
"G10",6084,"10","G","plate1",10,29.5916257398273
"H10",9257,"10","H","plate1",10,45.1489252587288
"A11",714,"11","A","plate1",10,3.26237946926287
"B11",5385,"11","B","plate1",10,26.1644110018153
"C11",6380,"11","C","plate1",10,31.0429212512029
"D11",9702,"11","D","plate1",10,47.3307715511685
"E11",5063,"11","E","plate1",10,24.5856368306567
"F11",3503,"11","F","plate1",10,16.9369172436771
"G11",7920,"11","G","plate1",10,38.5935803306571
"H11",4989,"11","H","plate1",10,24.2228129528128
"A12",6778,"12","A","plate1",10,32.994325350958
"B12",3410,"12","B","plate1",10,16.480935883684
"C12",8339,"12","C","plate1",10,40.6479479633138
"D12",4613,"12","D","plate1",10,22.3792754113356
"E12",16389,"12","E","plate1",10,80.1173022422791
"F12",1374,"12","F","plate1",10,6.49837621760039
"G12",18201,"12","G","plate1",10,89.0015842240785
"H12",1292,"12","H","plate1",10,6.09632813674634
